gene_col	cluster
Gja1	Astrocyte
Agt	Astrocyte
Aqp4	Astrocyte
Gfap	Astrocyte
Gpr50	Tanycyte
Cd44	Tanycyte
Rax	Tanycyte
Cldn5	Endothelial_cell
Adgrf5	Endothelial_cell
Ccdc153	Ependymocyte
Cx3cr1	Microglia
C1qa	Microglia
Csf1r	Microglia
P2ry12	Microglia
Tmem119	Microglia
Gad1	Neuron
Slc17a6	Neuron
Syt1	Neuron
Snap25	Neuron
Mobp	Oligodendrocyte
Pdgfra	OPC
Olig1	OPC
Cspg4	OPC
Fyn	OPC
Ptgds	Oligodendrocyte
Cldn11	Oligodendrocyte
Apod	Oligodendrocyte
Mal	Oligodendrocyte
Kcnj8	Pericyte
Pgfbp2	VLMC
Tbx18	VLMC
Slc6a13	VLMC
